init,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,fourier_basis,5,200,25,10,0.184543792,0.014491824,0.913422619,0.196296242,0.703130005,0.030580521,5.789678482,1.11143096,51,0.202035496,1.169720562,0.822465625
PCA,fourier_basis,5,400,25,10,0.184543792,0.014491824,0.913422619,0.196296242,0.703130005,0.030580521,5.789678482,1.11143096,51,0.202035496,1.169720562,0.822465625
PCA,fourier_basis,5,600,25,10,0.184543792,0.014491824,0.913422619,0.196296242,0.703130005,0.030580521,5.789678482,1.11143096,51,0.202035496,1.169720562,0.822465625
PCA,fourier_basis,6,200,75,10,0.179627614,0.016843678,0.90216804,0.130720467,0.698321113,0.007165838,5.940095446,2.076419662,71,0.199106603,1.182712225,0.825912917
PCA,fourier_basis,6,400,75,10,0.179627614,0.016843678,0.90216804,0.130720467,0.698321113,0.007165838,5.940095446,2.076419662,71,0.199106603,1.182712225,0.825912917
PCA,fourier_basis,6,600,75,10,0.179627614,0.016843678,0.90216804,0.130720467,0.698321113,0.007165838,5.940095446,2.076419662,71,0.199106603,1.182712225,0.825912917
PCA,fourier_basis,6,200,50,10,0.175918115,0.020117719,0.856103896,0.261745488,0.704346021,0.013875457,6.272022056,2.20536898,61,0.205486875,1.288818215,0.907773981
PCA,fourier_basis,6,400,50,10,0.175918115,0.020117719,0.856103896,0.261745488,0.704346021,0.013875457,6.272022056,2.20536898,61,0.205486875,1.288818215,0.907773981
PCA,fourier_basis,6,600,50,10,0.175918115,0.020117719,0.856103896,0.261745488,0.704346021,0.013875457,6.272022056,2.20536898,61,0.205486875,1.288818215,0.907773981
PCA,fourier_basis,4,200,25,10,0.201580896,0.052160611,0.906448413,0.189659195,0.700218609,0.023484363,6.702654929,1.550893006,51,0.222385403,1.490572619,1.043726686
PCA,fourier_basis,4,400,25,10,0.201580896,0.052160611,0.906448413,0.189659195,0.700218609,0.023484363,6.702654929,1.550893006,51,0.222385403,1.490572619,1.043726686
PCA,fourier_basis,4,600,25,10,0.201580896,0.052160611,0.906448413,0.189659195,0.700218609,0.023484363,6.702654929,1.550893006,51,0.222385403,1.490572619,1.043726686
PCA,fourier_basis,5,200,75,9,0.212588379,0.072746132,0.897639933,0.259803226,,,2271455.554,6424632.073,41,0.23683035,537949.6132,
PCA,fourier_basis,5,400,75,9,0.212588379,0.072746132,0.897639933,0.259803226,,,2271455.554,6424632.073,41,0.23683035,537949.6132,
PCA,fourier_basis,5,600,75,9,0.212588379,0.072746132,0.897639933,0.259803226,,,2271455.554,6424632.073,41,0.23683035,537949.6132,
