init,type,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,map geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.115499749,0.009595665,1,0,0.731336682,0.008531138,1.038516587,0.040079146,11,0.115499749,0.119948406,0.087722669
kernel pca:rbf,map geo,fourier_basis,2,"('variance', 'A', 'R', 'n', 'r')",10,0.115499749,0.009595665,1,0,0.731336682,0.008531138,1.038516587,0.040079146,11,0.115499749,0.119948406,0.087722669
PCA,kernel geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.111965387,0.014766432,1,0,0.819007248,0.013163844,1.082876168,0.036794973,31,0.111965387,0.121244649,0.099300246
umap:euclidean,map geo,spiral,,"('variance', 'A', 'R', 'n', 'r')",10,0.121006855,0.008021363,0.96875,0.030106634,0.811739709,0.014216055,0.974089406,0.045722744,41,0.124910302,0.121673802,0.098767456
kernel pca:rbf,map geo,klein bottle,,"('variance', 'A', 'R', 'n', 'r')",10,0.119447689,0.00819134,1,0,0.773011477,0.010207684,1.021422536,0.029574411,31,0.119447689,0.122006562,0.094312472
PCA,multi w GP geo,toroid,,"('variance', 'A', 'R')",9,0.113594842,0.0174167,1,0,0.839039347,0.100725665,1.075854339,0.082230234,11,0.113594842,0.122211504,0.10254026
kernel pca:rbf,map geo,fourier_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.124656577,0.013353425,1,0,0.857604438,0.010359991,0.980742279,0.038692744,51,0.124656577,0.122255975,0.104847267
kernel pca:rbf,kernel geo,fourier_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.114428954,0.01514811,1,0,0.784302023,0.024278872,1.076654668,0.053791789,11,0.114428954,0.123200467,0.096626376
PCA,multi w GP geo,ellipse,,"('variance', 'A', 'n')",10,0.111668689,0.011501203,1,0,0.805408629,0.032243228,1.107729985,0.085871917,11,0.111668689,0.123698755,0.099628045
umap:cosine,map geo,fourier_basis,7,"('variance', 'A', 'R', 'n', 'r')",10,0.121444364,0.00889913,0.982857143,0.020995626,0.837292475,0.013993696,1.006200565,0.057321949,51,0.123562579,0.124328737,0.104099516
isomap:15,map geo,spiral,,"('variance', 'A', 'R', 'n', 'r')",10,0.117150722,0.010704265,1,0,0.858233639,0.011708429,1.062006784,0.036668464,71,0.117150722,0.124414862,0.106777019
PCA,multi w GP geo,toroid,,"('variance', 'A')",10,0.113016496,0.015224447,1,0,0.810714548,0.024771242,1.101577381,0.031482456,11,0.113016496,0.124496416,0.100931056
PCA,multi w GP geo,ellipse,,"('variance', 'A', 'R', 'n')",8,0.117041987,0.016448226,1,0,0.849397181,0.109753477,1.074055923,0.051619199,11,0.117041987,0.125709639,0.106777413
PCA,multi w GP geo,toroid,,"('variance', 'A', 'n')",8,0.112749685,0.008237106,1,0,0.832724564,0.083651489,1.114992283,0.048265924,11,0.112749685,0.125715028,0.104685992
umap:cosine,map geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.11600742,0.008995616,1,0,0.792306111,0.012018533,1.08488122,0.05178817,51,0.11600742,0.125854271,0.099715108
umap:cosine,map geo,klein bottle,,"('variance', 'A', 'R', 'n', 'r')",10,0.116790155,0.008911931,1,0,0.798408344,0.022065091,1.082646448,0.064817928,51,0.116790155,0.126442447,0.100952705
umap:cosine,map geo,fourier_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.11556294,0.006820892,1,0,0.813227589,0.016769405,1.10186878,0.10748002,61,0.11556294,0.127335196,0.103552495
PCA,multi w GP geo,toroid,,"('variance', 'A', 'R', 'n', 'r')",6,0.114813152,0.014889058,1,0,0.796694891,0.016733836,1.111571316,0.049356065,11,0.114813152,0.127623007,0.101676598
umap:cosine,map geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.117212806,0.010460054,1,0,0.809179659,0.023309436,1.092771617,0.069480569,51,0.117212806,0.128086827,0.103645255
umap:cosine,kernel geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.11839728,0.00815236,1,0,0.783415158,0.021525237,1.082607115,0.036604235,1,0.11839728,0.128177738,0.100416383
umap:cosine,kernel geo,toroid,,"('variance', 'A', 'R', 'n', 'r')",10,0.118105413,0.010526092,1,0,0.775388879,0.019620995,1.085719347,0.052524284,1,0.118105413,0.128229331,0.099427598
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'alpha', 'phi', 'f')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'alpha')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'f')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'phi')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'f', 'phi')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'alpha', 'phi')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
PCA,multi w GP geo,fourier_basis,3,"('variance', 'A', 'f', 'alpha')",4,0.114127077,0.012324147,1,0,0.79400486,0.005183561,1.124453575,0.063444765,11,0.114127077,0.1283306,0.10189512
umap:euclidean,map geo,toroid,,"('variance', 'A', 'R', 'n', 'r')",10,0.121682987,0.010568512,0.94547619,0.040305751,0.802720287,0.017700014,0.99972904,0.035017393,51,0.128700213,0.12866534,0.103282279
PCA,multi w GP geo,ellipse,,"('variance', 'A', 'r', 'n')",8,0.118193228,0.013632916,1,0,0.838982353,0.073001859,1.090914052,0.047649582,11,0.118193228,0.128938653,0.108177255
PCA,map geo,klein bottle,,"('variance', 'A', 'R', 'n', 'r')",10,0.118445021,0.019756248,1,0,0.777962228,0.010107237,1.092333637,0.064511522,21,0.118445021,0.12938148,0.100653905
umap:cosine,map geo,fourier_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.117389367,0.006862192,1,0,0.804092192,0.020822943,1.102452442,0.056208181,41,0.117389367,0.129416194,0.104062551
PCA,kernel geo,cocentric_circles,,"('variance', 'A', 'R', 'n', 'r')",10,0.115191481,0.010487172,1,0,0.816665236,0.016567815,1.124327986,0.089308968,41,0.115191481,0.129513005,0.105768769
PCA,kernel geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.114747085,0.00986411,1,0,0.795890822,0.017270676,1.129279693,0.078727469,21,0.114747085,0.129581553,0.103132769
umap:cosine,map geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.116359014,0.009560981,0.995714286,0.012857143,0.823630618,0.016281334,1.11151952,0.128050773,51,0.116859842,0.129891996,0.106983025
umap:cosine,map geo,fourier_basis,2,"('variance', 'A', 'R', 'n', 'r')",10,0.115171759,0.009222295,0.995714286,0.012857143,0.789864464,0.017226688,1.123472538,0.064222484,61,0.115667477,0.129949234,0.102642282
PCA,map geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.119303217,0.017611582,1,0,0.780575817,0.008821756,1.090603109,0.048079463,21,0.119303217,0.13011246,0.10156264
PCA,map geo,fourier_basis,2,"('variance', 'A', 'R', 'n', 'r')",10,0.119303217,0.017611582,1,0,0.780575817,0.008821756,1.090603109,0.048079463,21,0.119303217,0.13011246,0.10156264
