init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
umap:euclidean,kernel geo,fourier_basis,5,10,0.225082652,0.045585167,0.905803571,0.082651039,0.927821918,0.028455401,1.278536576,0.183128875,11,0.248489473,0.31770288,0.294771695
umap:cosine,linear geo,cocentric_circles,,10,0.137614842,0.018123079,1,0,0.815833253,0.026927787,2.312818728,0.963699896,11,0.137614842,0.318278183,0.259661926
umap:cosine,linear geo,toroid,,9,0.144253263,0.013143775,1,0,0.824971018,0.050768568,2.218695707,0.6438872,11,0.144253263,0.320054094,0.264035352
umap:euclidean,kernel geo,toroid,,10,0.208816072,0.04105468,0.898775183,0.098414449,0.892738591,0.083805782,1.410808149,0.211654444,11,0.232334043,0.327778762,0.29262075
umap:cosine,linear geo,fourier_basis,3,9,0.143970791,0.014767253,1,0,0.799039513,0.012226411,2.361052397,0.942051045,11,0.143970791,0.339922582,0.271611574
umap:cosine,kernel geo,cocentric_circles,,10,0.197832141,0.028736115,0.924375,0.070958329,0.938187637,0.027346488,1.593321791,0.264693609,21,0.214017191,0.340998254,0.319920346
umap:euclidean,linear geo,ellipse,,9,0.150002984,0.01827684,1,0,0.810260042,0.007952841,2.476126312,0.96283348,11,0.150002984,0.371426335,0.300951918
umap:cosine,linear geo,fourier_basis,6,10,0.150604757,0.015815285,1,0,0.791912641,0.030067678,2.510658243,0.854858808,11,0.150604757,0.378117075,0.299435692
umap:euclidean,linear geo,fourier_basis,5,9,0.152321632,0.014298313,1,0,0.800086711,0.028476748,2.587129808,0.804932805,11,0.152321632,0.394075835,0.315294838
umap:cosine,linear geo,fourier_basis,4,9,0.142762224,0.026407045,1,0,0.846408919,0.089184508,2.797198007,1.686143851,11,0.142762224,0.399334208,0.338000036
umap:euclidean,linear geo,fourier_basis,4,10,0.155258438,0.021541965,1,0,0.864070081,0.126986627,2.61871489,1.02720249,11,0.155258438,0.406577583,0.351311525
umap:cosine,linear geo,fourier_basis,5,10,0.141123482,0.015502633,1,0,0.792892057,0.014849241,2.963037892,1.29853638,11,0.141123482,0.418154224,0.331551163
kernel pca:rbf,linear geo,ellipse,,10,0.15247422,0.020789762,1,0,0.790982589,0.022351156,2.779529717,0.868485346,31,0.15247422,0.423806626,0.335223662
umap:euclidean,linear geo,cocentric_circles,,10,0.140861292,0.01822216,1,0,0.837153853,0.041348784,3.026745531,3.035138272,11,0.140861292,0.426351286,0.356921622
umap:euclidean,linear geo,fourier_basis,3,10,0.145828279,0.020568001,1,0,0.741156765,0.015318617,3.47297924,2.101015415,1,0.145828279,0.506458586,0.375365207
PCA,linear geo,cocentric_circles,,9,0.146561966,0.01839566,1,0,0.8078279,0.025825794,3.556731494,1.370765876,11,0.146561966,0.52128156,0.421105788
umap:euclidean,linear geo,fourier_basis,6,10,0.163152175,0.025785003,1,0,0.829755782,0.022511874,3.339050408,2.847001902,21,0.163152175,0.544773335,0.452028825
PCA,linear geo,toroid,,10,0.150277373,0.018471949,1,0,0.813388248,0.026457585,3.629978645,1.37570541,11,0.150277373,0.545503654,0.443706262
PCA,linear geo,fourier_basis,4,10,0.151812603,0.019054922,1,0,0.804284951,0.031459256,3.972347537,2.041058882,11,0.151812603,0.603052418,0.485025984
kernel pca:rbf,linear geo,fourier_basis,5,10,0.164215951,0.030766771,0.966666667,0.066666667,0.813336141,0.086789054,3.705735697,1.639516827,31,0.16987857,0.629525081,0.5120155
kernel pca:rbf,linear geo,toroid,,10,0.150671818,0.020506528,1,0,0.807140677,0.023815282,4.230898182,5.094527987,31,0.150671818,0.637477122,0.514533716
umap:euclidean,mlp geo,fourier_basis,5,1,0.162782501,0,1,0,0.882284531,0,3.974324536,0,31,0.162782501,0.646950489,0.570794409
PCA,linear geo,fourier_basis,3,10,0.154160466,0.021721194,1,0,0.787320475,0.02491678,4.325120686,2.050054103,11,0.154160466,0.66676262,0.524955863
PCA,linear geo,ellipse,,10,0.152557032,0.019222657,1,0,0.820584786,0.075276374,4.703586297,3.85812761,11,0.152557032,0.717565166,0.588823058
PCA,linear geo,fourier_basis,5,10,0.157182819,0.017656296,1,0,0.804088051,0.025757893,4.615119268,1.763033294,20,0.157182819,0.725417457,0.583299509
umap:cosine,mlp geo,fourier_basis,6,2,0.179723764,0.027056467,1,0,0.864389633,0.048372451,4.112683066,1.96297949,21,0.179723764,0.739146883,0.638910902
PCA,linear geo,fourier_basis,6,10,0.163629457,0.019302733,1,0,0.805348455,0.022176166,4.614319752,2.626531774,21,0.163629457,0.755038635,0.608069198
kernel pca:rbf,linear geo,cocentric_circles,,10,0.144322642,0.015808716,0.986339286,0.029596699,0.809173049,0.025787087,9.980902743,9.089133215,21,0.146321498,1.460420645,1.181733026
umap:cosine,mlp geo,fourier_basis,4,4,0.173249586,0.012751899,0.9765625,0.040594941,0.765734255,0.021127586,9.459648551,5.344204075,11,0.177407576,1.678213321,1.285065427
umap:cosine,mlp geo,ellipse,,9,0.190504273,0.031367803,0.989583333,0.029462783,0.812655086,0.092296201,9.143863992,6.563920323,11,0.192509581,1.760281423,1.430501651
kernel pca:rbf,linear geo,fourier_basis,4,9,0.170751207,0.013720379,1,0,0.761217911,0.015588768,10.55452349,8.137045931,21,0.170751207,1.802197621,1.371865108
umap:cosine,kernel geo,fourier_basis,3,10,1.56233061,4.057307995,0.965892857,0.062476781,0.920076466,0.034801881,1.276068609,0.120717476,11,1.617498875,2.064039541,1.899074206
umap:cosine,mlp geo,fourier_basis,3,7,0.196225553,0.016548188,0.970068027,0.057747049,0.785312354,0.055041419,14.4074339,7.224091132,9.571428571,0.202280199,2.914338591,2.288666099
umap:cosine,mlp geo,cocentric_circles,,5,0.185324113,0.008673135,1,0,0.798152088,0.051961044,16.13525093,5.277596682,11,0.185324113,2.990251065,2.386675132
PCA,kernel circular,fourier_basis,3,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
PCA,kernel circular,fourier_basis,4,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
PCA,kernel circular,fourier_basis,5,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
PCA,kernel circular,fourier_basis,6,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,fourier_basis,3,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,fourier_basis,4,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,fourier_basis,5,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,fourier_basis,6,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,fourier_basis,3,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,fourier_basis,4,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,fourier_basis,5,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,fourier_basis,6,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,fourier_basis,3,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,fourier_basis,4,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,fourier_basis,5,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,fourier_basis,6,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
PCA,kernel circular,ellipse,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
PCA,kernel circular,toroid,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
PCA,kernel circular,cocentric_circles,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,ellipse,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,toroid,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
kernel pca:rbf,kernel circular,cocentric_circles,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,ellipse,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,toroid,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,kernel circular,cocentric_circles,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,ellipse,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,toroid,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:euclidean,kernel circular,cocentric_circles,,8,0.320991027,0.045427167,0.27009154,0.119202009,0.765268083,0.045674317,2.534319093,2.019942479,11,1.188452726,3.011918433,2.304925047
umap:cosine,mlp geo,fourier_basis,5,4,0.171907143,0.016562199,0.958333333,0.072168784,0.785495912,0.011655241,17.45212825,9.133193582,11,0.179381366,3.130586612,2.459062985
kernel pca:rbf,linear geo,fourier_basis,3,10,0.17789781,0.012070251,1,0,0.766009226,0.0165139,18.13909166,13.9841248,19,0.17789781,3.226904676,2.471838755
PCA,mlp geo,fourier_basis,3,3,0.198617203,0.009339855,1,0,0.828132282,0.073088524,19.77145024,13.66033746,11,0.198617203,3.92695014,3.252034183
umap:euclidean,mlp geo,ellipse,,8,0.179010654,0.011658432,0.971205357,0.039971565,0.798538352,0.041238133,23.50113832,17.38405968,11,0.184318026,4.331683417,3.459015336
kernel pca:rbf,mlp geo,fourier_basis,5,3,0.215802454,0.030681955,1,0,0.863100051,0.103504676,20.33461699,11.54786493,11,0.215802454,4.38826024,3.787507638
umap:euclidean,mlp geo,cocentric_circles,,5,0.190611045,0.005323495,1,0,0.719395168,0.005336907,23.27534947,18.40890479,1,0.190611045,4.436538677,3.191624488
umap:euclidean,mlp geo,fourier_basis,4,1,0.198862293,0,1,0,0.763594615,0,31.01371653,0,1,0.198862293,6.167458795,4.709438322
umap:euclidean,mlp geo,fourier_basis,3,6,0.187985004,0.015481051,1,0,0.773012073,0.042562867,35.26805458,38.18302714,9.333333333,0.187985004,6.629865398,5.124965996
PCA,mlp geo,fourier_basis,4,1,0.166678095,0,1,0,0.773872609,0,43.33322028,0,11,0.166678095,7.222698591,5.589448606
umap:cosine,mlp geo,toroid,,8,0.181477608,0.015019518,0.979166667,0.055119819,0.741380605,0.014978713,39.3463595,57.81530089,1,0.185338834,7.292408393,5.406450148
kernel pca:rbf,mlp geo,ellipse,,6,0.208093659,0.044159452,0.956597222,0.064889693,0.745279931,0.048999285,36.19820249,23.77967547,21,0.217535296,7.874386676,5.868622359
PCA,mlp geo,ellipse,,4,0.181662742,0.00628821,1,0,0.724256548,0.011012369,68.79302613,49.18210188,1,0.181662742,12.49712978,9.051128067
kernel pca:rbf,mlp geo,fourier_basis,3,4,0.208134109,0.017899831,0.934895833,0.07002255,0.768995086,0.011510529,90.43184017,47.29032674,11,0.222628128,20.13267126,15.48192527
kernel pca:rbf,mlp geo,fourier_basis,6,1,0.214359404,0,1,0,0.806718347,0,115.4191941,0,11,0.214359404,24.74118964,19.95917162
kernel pca:rbf,linear geo,fourier_basis,6,9,8.967516607,24.90426701,0.962962963,0.069289952,0.814906665,0.067501024,4.100137056,3.422096482,31,9.312421091,38.18220279,31.11493153
umap:euclidean,mlp geo,toroid,,6,106728.402,238651.55,0.920568783,0.159218234,0.850949409,0.089324655,8.776492133,7.058607975,21,115937.4552,1017524.163,865861.5857
umap:cosine,kernel geo,fourier_basis,5,10,3.32E+137,9.96E+137,0.866431277,0.149262669,0.897058464,0.034672088,1.292744899,0.21849122,21,3.83E+137,4.95E+137,4.44E+137
kernel pca:rbf,kernel geo,fourier_basis,6,10,7.16E+138,2.15E+139,0.910620421,0.132053656,0.877885124,0.029137241,1.079118462,0.117307416,21,7.86E+138,8.48E+138,7.44E+138
kernel pca:rbf,kernel geo,cocentric_circles,,10,7.29E+145,2.19E+146,0.968214286,0.082072175,0.824630073,0.027737861,1.155810107,0.100043539,31,7.52E+145,8.70E+145,7.17E+145
