init,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,fourier_basis,9,0,25,10,0.227035299,0.029816073,0.872919303,0.101063387,0.801832216,0.006905917,1.517305384,0.211279119,51,0.260087385,0.39463199,0.316428643
kernel pca:rbf,fourier_basis,10,0,25,10,0.234478845,0.034015329,0.842656677,0.084800607,0.82480687,0.006720159,1.615967749,0.199675527,31,0.278261422,0.449661484,0.370883881
kernel pca:rbf,fourier_basis,8,125,0,4,0.312013343,0.036681989,0.762271062,0.157604111,0.835801051,0.016930629,1.424246237,0.039700085,11,0.409320723,0.5829735,0.487249864
kernel pca:rbf,fourier_basis,8,250,0,4,0.312013343,0.036681989,0.762271062,0.157604111,0.835801051,0.016930629,1.424246237,0.039700085,11,0.409320723,0.5829735,0.487249864
kernel pca:rbf,fourier_basis,8,375,0,4,0.312013343,0.036681989,0.762271062,0.157604111,0.835801051,0.016930629,1.424246237,0.039700085,11,0.409320723,0.5829735,0.487249864
kernel pca:rbf,fourier_basis,11,0,25,10,0.260404209,0.016871413,0.73522259,0.074763166,0.798425176,0.009218163,1.718802811,0.217858743,41,0.354184178,0.608772762,0.4860595
kernel pca:rbf,fourier_basis,10,125,25,10,0.194804879,0.036274592,0.495807672,0.180694719,0.747440602,0.01760044,2.005624114,0.299638535,81,0.392904123,0.788017984,0.588996637
kernel pca:rbf,fourier_basis,10,250,25,10,0.194804879,0.036274592,0.495807672,0.180694719,0.747440602,0.01760044,2.005624114,0.299638535,81,0.392904123,0.788017984,0.588996637
kernel pca:rbf,fourier_basis,10,375,25,10,0.194804879,0.036274592,0.495807672,0.180694719,0.747440602,0.01760044,2.005624114,0.299638535,81,0.392904123,0.788017984,0.588996637
kernel pca:rbf,fourier_basis,11,125,0,9,0.334887215,0.044741413,0.632818786,0.109567036,0.922778446,0.039265939,1.490126262,0.100815206,11,0.529199231,0.788573672,0.727678788
kernel pca:rbf,fourier_basis,11,250,0,9,0.334887215,0.044741413,0.632818786,0.109567036,0.922778446,0.039265939,1.490126262,0.100815206,11,0.529199231,0.788573672,0.727678788
kernel pca:rbf,fourier_basis,11,375,0,9,0.334887215,0.044741413,0.632818786,0.109567036,0.922778446,0.039265939,1.490126262,0.100815206,11,0.529199231,0.788573672,0.727678788
kernel pca:rbf,fourier_basis,10,125,0,6,0.338991664,0.039657181,0.646685352,0.096576471,0.890730279,0.039891892,1.557304092,0.374194828,11,0.524198767,0.816336884,0.727135981
kernel pca:rbf,fourier_basis,10,250,0,6,0.338991664,0.039657181,0.646685352,0.096576471,0.890730279,0.039891892,1.557304092,0.374194828,11,0.524198767,0.816336884,0.727135981
kernel pca:rbf,fourier_basis,10,375,0,6,0.338991664,0.039657181,0.646685352,0.096576471,0.890730279,0.039891892,1.557304092,0.374194828,11,0.524198767,0.816336884,0.727135981
kernel pca:rbf,fourier_basis,9,125,0,6,0.345480521,0.046152237,0.544459522,0.095457521,0.852981856,0.062897716,1.577937429,0.307240236,11,0.634538487,1.001262028,0.854058343
kernel pca:rbf,fourier_basis,9,250,0,6,0.345480521,0.046152237,0.544459522,0.095457521,0.852981856,0.062897716,1.577937429,0.307240236,11,0.634538487,1.001262028,0.854058343
kernel pca:rbf,fourier_basis,9,375,0,6,0.345480521,0.046152237,0.544459522,0.095457521,0.852981856,0.062897716,1.577937429,0.307240236,11,0.634538487,1.001262028,0.854058343
kernel pca:rbf,fourier_basis,8,125,75,10,0.2974104,0.028319396,0.565405635,0.152023151,0.775536608,0.023452958,3.182608883,0.568890215,31,0.526012445,1.674091879,1.298319537
kernel pca:rbf,fourier_basis,8,250,75,10,0.2974104,0.028319396,0.565405635,0.152023151,0.775536608,0.023452958,3.182608883,0.568890215,31,0.526012445,1.674091879,1.298319537
kernel pca:rbf,fourier_basis,8,375,75,10,0.2974104,0.028319396,0.565405635,0.152023151,0.775536608,0.023452958,3.182608883,0.568890215,31,0.526012445,1.674091879,1.298319537
kernel pca:rbf,fourier_basis,8,125,25,10,0.286801666,0.0502024,0.532708014,0.23156939,0.772465133,0.028625287,3.376582332,0.782738779,51,0.538384365,1.817899135,1.404263697
kernel pca:rbf,fourier_basis,8,250,25,10,0.286801666,0.0502024,0.532708014,0.23156939,0.772465133,0.028625287,3.376582332,0.782738779,51,0.538384365,1.817899135,1.404263697
kernel pca:rbf,fourier_basis,8,375,25,10,0.286801666,0.0502024,0.532708014,0.23156939,0.772465133,0.028625287,3.376582332,0.782738779,51,0.538384365,1.817899135,1.404263697
kernel pca:rbf,fourier_basis,10,125,50,10,0.285818449,0.029724146,0.454600364,0.184809073,0.746930958,0.013536921,2.895070858,0.576390183,61,0.628724637,1.820202373,1.359565503
kernel pca:rbf,fourier_basis,10,250,50,10,0.285818449,0.029724146,0.454600364,0.184809073,0.746930958,0.013536921,2.895070858,0.576390183,61,0.628724637,1.820202373,1.359565503
kernel pca:rbf,fourier_basis,10,375,50,10,0.285818449,0.029724146,0.454600364,0.184809073,0.746930958,0.013536921,2.895070858,0.576390183,61,0.628724637,1.820202373,1.359565503
kernel pca:rbf,fourier_basis,9,125,50,10,0.259946859,0.055549777,0.392845331,0.168208761,0.763295106,0.045726958,2.98553394,1.148806652,51,0.66170281,1.975536197,1.507917111
kernel pca:rbf,fourier_basis,9,250,50,10,0.259946859,0.055549777,0.392845331,0.168208761,0.763295106,0.045726958,2.98553394,1.148806652,51,0.66170281,1.975536197,1.507917111
kernel pca:rbf,fourier_basis,9,375,50,10,0.259946859,0.055549777,0.392845331,0.168208761,0.763295106,0.045726958,2.98553394,1.148806652,51,0.66170281,1.975536197,1.507917111
kernel pca:rbf,fourier_basis,11,125,50,10,0.280321858,0.022128601,0.432944993,0.180531806,0.768811546,0.02331799,3.130778445,0.698850311,61,0.647476844,2.027106548,1.558462918
kernel pca:rbf,fourier_basis,11,250,50,10,0.280321858,0.022128601,0.432944993,0.180531806,0.768811546,0.02331799,3.130778445,0.698850311,61,0.647476844,2.027106548,1.558462918
kernel pca:rbf,fourier_basis,11,375,50,10,0.280321858,0.022128601,0.432944993,0.180531806,0.768811546,0.02331799,3.130778445,0.698850311,61,0.647476844,2.027106548,1.558462918
kernel pca:rbf,fourier_basis,9,125,75,10,0.263765718,0.05151114,0.388528576,0.178786305,0.771669758,0.045280608,3.271590166,1.461085396,51,0.678883701,2.221029241,1.713901097
kernel pca:rbf,fourier_basis,9,250,75,10,0.263765718,0.05151114,0.388528576,0.178786305,0.771669758,0.045280608,3.271590166,1.461085396,51,0.678883701,2.221029241,1.713901097
kernel pca:rbf,fourier_basis,9,375,75,10,0.263765718,0.05151114,0.388528576,0.178786305,0.771669758,0.045280608,3.271590166,1.461085396,51,0.678883701,2.221029241,1.713901097
kernel pca:rbf,fourier_basis,9,125,25,10,0.324919714,0.043150745,0.480687058,0.079666964,0.778851046,0.023619579,4.175001521,1.270969435,41,0.675948538,2.822086176,2.197984769
kernel pca:rbf,fourier_basis,9,250,25,10,0.324919714,0.043150745,0.480687058,0.079666964,0.778851046,0.023619579,4.175001521,1.270969435,41,0.675948538,2.822086176,2.197984769
kernel pca:rbf,fourier_basis,9,375,25,10,0.324919714,0.043150745,0.480687058,0.079666964,0.778851046,0.023619579,4.175001521,1.270969435,41,0.675948538,2.822086176,2.197984769
kernel pca:rbf,fourier_basis,8,125,50,10,0.303744762,0.035345381,0.406801908,0.156144425,0.778796207,0.014322198,4.010792872,0.603106491,41,0.746665037,2.99471881,2.332275649
kernel pca:rbf,fourier_basis,8,250,50,10,0.303744762,0.035345381,0.406801908,0.156144425,0.778796207,0.014322198,4.010792872,0.603106491,41,0.746665037,2.99471881,2.332275649
kernel pca:rbf,fourier_basis,8,375,50,10,0.303744762,0.035345381,0.406801908,0.156144425,0.778796207,0.014322198,4.010792872,0.603106491,41,0.746665037,2.99471881,2.332275649
kernel pca:rbf,fourier_basis,10,125,75,10,0.329611664,0.034654371,0.37118941,0.071604111,0.755256,0.011656949,3.862080708,1.109887804,51,0.887987791,3.429480516,2.590135738
kernel pca:rbf,fourier_basis,10,250,75,10,0.329611664,0.034654371,0.37118941,0.071604111,0.755256,0.011656949,3.862080708,1.109887804,51,0.887987791,3.429480516,2.590135738
kernel pca:rbf,fourier_basis,10,375,75,10,0.329611664,0.034654371,0.37118941,0.071604111,0.755256,0.011656949,3.862080708,1.109887804,51,0.887987791,3.429480516,2.590135738
kernel pca:rbf,fourier_basis,11,125,25,10,0.322896252,0.033569202,0.312460936,0.130625863,0.778570206,0.015998419,3.628096222,1.044634404,51,1.033397187,3.749264431,2.919065579
kernel pca:rbf,fourier_basis,11,250,25,10,0.322896252,0.033569202,0.312460936,0.130625863,0.778570206,0.015998419,3.628096222,1.044634404,51,1.033397187,3.749264431,2.919065579
kernel pca:rbf,fourier_basis,11,375,25,10,0.322896252,0.033569202,0.312460936,0.130625863,0.778570206,0.015998419,3.628096222,1.044634404,51,1.033397187,3.749264431,2.919065579
kernel pca:rbf,fourier_basis,11,125,75,10,0.318294356,0.020918075,0.293978123,0.131779008,0.772203041,0.020665026,3.761974143,1.002691315,51,1.082714432,4.073143696,3.145293949
kernel pca:rbf,fourier_basis,11,250,75,10,0.318294356,0.020918075,0.293978123,0.131779008,0.772203041,0.020665026,3.761974143,1.002691315,51,1.082714432,4.073143696,3.145293949
kernel pca:rbf,fourier_basis,11,375,75,10,0.318294356,0.020918075,0.293978123,0.131779008,0.772203041,0.020665026,3.761974143,1.002691315,51,1.082714432,4.073143696,3.145293949
