init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,linear geo,toroid,,10,0.181889686,0.011121658,0.923878899,0.03849855,0.876856862,0.016772888,2.770015783,1.618787937,1,0.196876112,0.545349939,0.478193836
umap:euclidean,linear geo,fourier_basis,7,10,0.188137101,0.040378915,0.941358641,0.039593373,0.851145364,0.01546711,2.864332025,1.252150538,11,0.199856987,0.572456767,0.487243923
umap:cosine,linear geo,fourier_basis,11,10,0.198663967,0.030582546,0.937065712,0.039710393,0.859216758,0.019179062,2.7198223,1.11458817,11,0.212006441,0.576619847,0.495441436
kernel pca:rbf,linear geo,fourier_basis,11,10,0.205312396,0.039499786,0.959090909,0.040918443,0.807122315,0.033530757,2.731401724,2.062462484,11,0.214069797,0.584710612,0.471932983
kernel pca:rbf,mlp geo,ellipse,,5,0.218231524,0.049369298,0.959757576,0.043965537,0.798175936,0.022463841,2.609394105,0.752124694,11,0.227381924,0.593329051,0.473580971
umap:cosine,linear geo,ellipse,,10,0.190835126,0.029645939,0.935497835,0.052298302,0.857938033,0.01860194,2.927486299,2.047069032,11,0.203993124,0.597187075,0.512349504
PCA,linear geo,fourier_basis,9,10,0.240014972,0.041765366,0.912604063,0.055546954,0.889462785,0.014440891,2.275079601,1.293443897,11,0.263000113,0.598346192,0.532206671
umap:euclidean,kernel geo,cocentric_circles,,10,0.210779036,0.043505199,0.66867255,0.250810817,0.876923706,0.075977346,1.951819491,0.856507542,21,0.315220112,0.615252758,0.539529729
kernel pca:rbf,mlp geo,fourier_basis,7,5,0.23463726,0.053847066,0.940798091,0.044887173,0.891785227,0.039140317,2.606018655,1.534353523,11,0.249402355,0.64994719,0.579613303
kernel pca:rbf,mlp geo,fourier_basis,9,5,0.304356495,0.079915045,0.93972583,0.046640021,0.953180245,0.103086138,2.016119844,0.707260059,21,0.323877971,0.652976805,0.622404591
PCA,linear geo,fourier_basis,5,10,0.190734406,0.024613679,0.923878899,0.03849855,0.879535822,0.017857355,3.50446791,2.194234035,1,0.206449575,0.72349591,0.63634057
kernel pca:rbf,mlp geo,fourier_basis,5,4,0.221064578,0.023941309,0.9375,0.036084392,0.784613872,0.007948213,3.17774951,1.014046169,1,0.235802216,0.749320377,0.587927163
PCA,linear geo,fourier_basis,8,10,0.241742898,0.045585095,0.931651682,0.049233154,0.901358477,0.069081713,2.892488709,2.268233528,11,0.259477767,0.75053651,0.676502446
PCA,linear geo,fourier_basis,10,10,0.269881791,0.065701318,0.926545677,0.055787826,0.902889626,0.018417317,2.597725284,1.754452729,11,0.291277373,0.756658596,0.683179197
PCA,linear geo,fourier_basis,11,10,0.269804185,0.058341704,0.936505162,0.044936907,0.903932626,0.014768116,2.825351524,2.15019223,11,0.288096848,0.813974868,0.73577844
kernel pca:rbf,mlp geo,fourier_basis,11,5,0.231343378,0.037756828,0.941919192,0.033463169,0.893108643,0.018540892,3.324120295,2.095514406,11,0.245608519,0.816432263,0.729162711
kernel pca:rbf,linear geo,fourier_basis,8,9,0.223068348,0.024908191,0.949494949,0.032860642,0.784069212,0.010384573,3.704759171,1.541950804,1,0.234933686,0.870372726,0.682432458
umap:euclidean,linear geo,fourier_basis,11,10,0.384339966,0.170767007,0.623631369,0.115461698,0.924774611,0.040592154,1.518351495,0.573321323,21,0.616293512,0.935750175,0.865358004
PCA,linear geo,fourier_basis,7,10,0.221886134,0.029455581,0.913164613,0.051670586,0.875027203,0.021635186,4.225891537,3.317037589,1,0.24298591,1.0268321,0.898506021
umap:cosine,linear geo,toroid,,10,0.174970987,0.033591419,0.919025419,0.042001828,0.839048958,0.012478453,5.454892797,6.045373025,1,0.190387539,1.038543613,0.871388936
umap:cosine,linear geo,fourier_basis,6,10,0.179592341,0.02548494,0.923318348,0.043700856,0.834305642,0.014130671,5.367533673,3.392651959,1,0.194507497,1.044025539,0.871036397
umap:euclidean,mlp geo,cocentric_circles,,2,0.249353846,0.081955666,0.918333333,0.001666667,1.006337153,0.001509379,3.994749607,1.116345797,21,0.271528688,1.084689122,1.091562963
kernel pca:rbf,mlp geo,fourier_basis,8,8,0.245943264,0.069310143,0.948232323,0.034647532,0.871057789,0.045127437,4.51765535,2.593089278,11,0.259370259,1.17174544,1.020657993
umap:euclidean,linear geo,toroid,,10,0.184429331,0.03283292,0.923878899,0.03849855,0.828064786,0.022241967,6.260544109,5.887032689,1,0.199625006,1.249761157,1.034883206
umap:euclidean,linear geo,fourier_basis,10,10,0.185000555,0.030828212,0.923878899,0.03849855,0.833992824,0.018147193,6.874991234,9.458341072,1,0.200243295,1.3766709,1.148133651
umap:euclidean,linear geo,fourier_basis,9,10,0.188445468,0.043665071,0.919025419,0.042001828,0.834053303,0.019541495,6.792628823,5.854985713,1,0.205049245,1.39282341,1.161688966
kernel pca:rbf,mlp geo,toroid,,3,0.220553761,0.065607771,0.864774115,0.04380528,0.837532687,0.013405653,5.514280456,2.607080754,11,0.255042048,1.406373381,1.177883677
PCA,mlp geo,ellipse,,4,0.272528745,0.076851426,0.723611111,0.408344402,0.989004385,0.080063734,3.822601679,2.398028593,11,0.376623217,1.439680543,1.42385037
umap:cosine,linear geo,fourier_basis,8,10,0.177176299,0.032968842,0.919025419,0.042001828,0.834654626,0.014971912,7.532150235,6.864262048,1,0.192787159,1.452101842,1.21200352
umap:euclidean,linear geo,fourier_basis,6,10,0.186003628,0.045031299,0.923878899,0.03849855,0.82765845,0.018934701,7.261778827,8.057623621,1,0.201329014,1.462006771,1.210042258
umap:euclidean,linear geo,fourier_basis,8,10,0.198734046,0.035815925,0.919025419,0.042001828,0.833595894,0.023935534,6.813040943,6.326747434,1,0.216244341,1.47328155,1.228121451
umap:cosine,linear geo,fourier_basis,10,10,0.179229422,0.0266164,0.923878899,0.03849855,0.841758227,0.024919831,7.904923556,7.611802137,1,0.193996662,1.53352878,1.290860467
umap:cosine,linear geo,fourier_basis,9,10,0.198223492,0.047840245,0.923878899,0.03849855,0.832635923,0.013363577,8.428167473,7.914277627,1,0.214555709,1.808311448,1.505665072
umap:cosine,mlp geo,cocentric_circles,,4,0.386289837,0.101310345,0.522858354,0.292608722,1.023196895,0.045450583,3.001323892,2.220645081,21,0.738803988,2.21739006,2.268826624
kernel pca:rbf,mlp geo,fourier_basis,10,3,0.286586819,0.052223595,0.972222222,0.03928371,0.795685096,0.026160309,8.057650695,6.862457458,1,0.294775013,2.375194091,1.889906539
umap:euclidean,mlp geo,fourier_basis,6,1,0.327206103,0,0.916666667,0,0.948438619,0,6.719491774,0,11,0.356952113,2.398536786,2.274864916
umap:cosine,mlp geo,fourier_basis,6,3,0.354803129,0.018448988,0.915639916,0.037424435,0.982822523,0.033603227,6.79546314,2.827389522,11,0.387491985,2.633187503,2.587955985
PCA,kernel circular,fourier_basis,5,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,fourier_basis,6,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,fourier_basis,7,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
