init,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
umap:cosine,fourier_basis,6,10,0.116359014,0.009560981,0.995714286,0.012857143,0.823630618,0.016281334,1.11151952,0.128050773,51,0.116859842,0.129891996,0.106983025
isomap:15,spiral,,10,0.117150722,0.010704265,1,0,0.858233639,0.011708429,1.062006784,0.036668464,71,0.117150722,0.124414862,0.106777019
umap:cosine,fourier_basis,4,10,0.117212806,0.010460054,1,0,0.809179659,0.023309436,1.092771617,0.069480569,51,0.117212806,0.128086827,0.103645255
umap:cosine,fourier_basis,3,10,0.117389367,0.006862192,1,0,0.804092192,0.020822943,1.102452442,0.056208181,41,0.117389367,0.129416194,0.104062551
PCA,fourier_basis,7,10,0.118131002,0.013501465,1,0,0.847765365,0.024857823,0.996162257,0.028518418,61,0.118131002,0.117677646,0.099763032
PCA,klein bottle,,10,0.118445021,0.019756248,1,0,0.777962228,0.010107237,1.092333637,0.064511522,21,0.118445021,0.12938148,0.100653905
kernel pca:rbf,fourier_basis,6,10,0.114855407,0.012201977,0.963303571,0.040711642,0.853223582,0.01692044,0.998853277,0.042285194,41,0.11923075,0.119094025,0.101613831
PCA,ellipse,,10,0.119303217,0.017611582,1,0,0.780575817,0.008821756,1.090603109,0.048079463,21,0.119303217,0.13011246,0.10156264
PCA,fourier_basis,2,10,0.119303217,0.017611582,1,0,0.780575817,0.008821756,1.090603109,0.048079463,21,0.119303217,0.13011246,0.10156264
kernel pca:rbf,klein bottle,,10,0.119447689,0.00819134,1,0,0.773011477,0.010207684,1.021422536,0.029574411,31,0.119447689,0.122006562,0.094312472
kernel pca:rbf,fourier_basis,4,10,0.120630053,0.01221331,1,0,0.827557455,0.007829048,0.988286878,0.035525896,51,0.120630053,0.119217099,0.098658999
isomap:15,fourier_basis,5,10,0.121695446,0.01182037,0.995714286,0.012857143,0.837508147,0.014644869,1.110465607,0.057871729,71,0.122219243,0.135720266,0.113666828
umap:cosine,fourier_basis,7,10,0.121444364,0.00889913,0.982857143,0.020995626,0.837292475,0.013993696,1.006200565,0.057321949,51,0.123562579,0.124328737,0.104099516
kernel pca:rbf,fourier_basis,5,10,0.124656577,0.013353425,1,0,0.857604438,0.010359991,0.980742279,0.038692744,51,0.124656577,0.122255975,0.104847267
umap:euclidean,spiral,,10,0.121006855,0.008021363,0.96875,0.030106634,0.811739709,0.014216055,0.974089406,0.045722744,41,0.124910302,0.121673802,0.098767456
umap:cosine,mobius strip,,10,0.125131302,0.010852614,1,0,0.802547484,0.021676078,1.455025894,0.600038234,41,0.125131302,0.182069285,0.146119246
umap:cosine,laguerre_basis,5,10,0.125854563,0.014504333,1,0,0.777734739,0.01535555,1.368237094,0.261546066,41,0.125854563,0.172198881,0.133925052
umap:euclidean,fourier_basis,2,10,0.120159982,0.008294572,0.953928571,0.041957066,0.788020859,0.012025568,1.0624587,0.054142246,31,0.125963291,0.133830794,0.105461457
isomap:15,toroid,,10,0.126342021,0.015010468,1,0,0.869076555,0.015147627,1.141554951,0.057316638,41,0.126342021,0.14422636,0.125343748
umap:cosine,chebyshev_basis,5,10,0.126538509,0.011493115,1,0,0.777697543,0.015268454,1.38784236,0.21149509,41,0.126538509,0.175615503,0.136575745
isomap:15,random_sine_waves,2,10,0.127054671,0.015178987,1,0,0.838031469,0.016665424,1.174237469,0.087522049,81,0.127054671,0.149192356,0.125027889
isomap:15,fourier_basis,4,10,0.127293527,0.017607399,1,0,0.847803624,0.010663253,1.134399805,0.062920389,41,0.127293527,0.144401752,0.122424329
isomap:15,random_sine_waves,3,10,0.127474062,0.018356263,1,0,0.83758566,0.019597878,1.203305661,0.130779029,71,0.127474062,0.15339026,0.128477482
umap:euclidean,ellipse,,10,0.123855901,0.012978395,0.968392857,0.036191455,0.79714705,0.009926184,1.088818441,0.050990556,21,0.127898404,0.139258141,0.111009216
isomap:15,random_sine_waves,5,10,0.12803195,0.014597749,1,0,0.841306399,0.022914665,1.164507262,0.068736965,71,0.12803195,0.149094135,0.12543385
umap:euclidean,fourier_basis,6,10,0.122800214,0.01017289,0.959017857,0.038835591,0.838586468,0.0234831,1.084195506,0.081060791,21,0.128047891,0.138828948,0.116420077
